query,query_type,relevant_doc_ids,retrieved_doc_ids,hit@5,mrr@5,retriever,chunk_size,chunk_overlap
как получить справку об обучении?,keyword,['campus_01'],"['campus_01', 'campus_03', 'campus_16', 'campus_02', 'campus_02']",1,1.0,bm25,320,60
где заказать документ подтверждающий что я учусь в вузе,paraphrase,['campus_01'],"['campus_08', 'campus_01', 'campus_08', 'campus_17', 'campus_12']",1,0.5,bm25,320,60
правила проживания в общежитии комендантский час,keyword,['campus_04'],"['campus_04', 'campus_17', 'campus_12', 'campus_14', 'campus_17']",1,1.0,bm25,320,60
во сколько нельзя заходить в общежитие ночью,paraphrase,['campus_04'],"['campus_03', 'campus_17', 'campus_12', 'campus_14', 'campus_17']",0,0.0,bm25,320,60
социальная стипендия документы,keyword,['campus_06'],"['campus_06', 'campus_05', 'campus_16', 'campus_01', 'campus_02']",1,1.0,bm25,320,60
льготная выплата для малообеспеченных какие справки нужны,paraphrase,['campus_06'],"['campus_06', 'campus_10', 'campus_01', 'campus_09', 'campus_02']",1,1.0,bm25,320,60
режим работы библиотеки воскресенье,keyword,['campus_07'],"['campus_07', 'campus_01', 'campus_02', 'campus_02', 'campus_03']",1,1.0,bm25,320,60
открыта ли научная библиотека в воскресенье,paraphrase,['campus_07'],"['campus_07', 'campus_17', 'campus_12', 'campus_14', 'campus_17']",1,1.0,bm25,320,60
как подключиться к wifi eduroam,keyword,['campus_12'],"['campus_12', 'campus_13', 'campus_09', 'campus_08', 'campus_13']",1,1.0,bm25,320,60
беспроводной интернет кампуса настройка eduroam,paraphrase,['campus_12'],"['campus_12', 'campus_07', 'campus_08', 'campus_01', 'campus_02']",1,1.0,bm25,320,60
академический отпуск по болезни,keyword,['campus_13'],"['campus_13', 'campus_11', 'campus_13', 'campus_03', 'campus_04']",1,1.0,bm25,320,60
прервать обучение из-за здоровья как оформить,paraphrase,['campus_13'],"['campus_01', 'campus_02', 'campus_02', 'campus_03', 'campus_04']",0,0.0,bm25,320,60
